file_names,index,simulated_showers
gamma_20deg_0deg_run1857___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1858___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1859___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1860___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1861___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1862___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1863___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1864___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1865___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1866___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1867___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1868___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1869___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1870___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1871___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1872___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1873___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1874___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1875___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1876___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1877___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1878___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1879___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1880___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1881___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1882___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1883___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1884___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1885___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1886___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1887___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1888___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1889___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1890___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1891___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1892___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1893___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1894___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1895___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1896___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1897___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1898___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1899___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
gamma_20deg_0deg_run1900___cta-prod3-merged_desert-2150m-Paranal-3HB8-NG,-2.0,20000
